filename,ellipse_center_x,ellipse_center_y,ellipse_majoraxis,ellipse_minoraxis,ellipse_angle,elapsed_time
2018-02-15 17.28.24.815000.tiff,560.95,866.97,52.44,39.83,21.88,144.61
2018-02-15 17.33.14.590000.tiff,790.4,519.96,512.09,147.57,85.48,482.99
2018-02-15 17.34.55.379000.tiff,490.43,486.41,602.44,589.1,1.87,603.39
2018-02-15 17.38.05.422000.tiff,347.6,526.66,201.85,35.28,77.35,405.45
2018-02-15 17.42.21.861000.tiff,476.84,558.72,509.82,648.43,-13.15,625.95
2018-02-15 17.46.27.410000.tiff,87.1,397.35,96.83,91.38,81.83,264.29
2018-02-15 17.49.44.087000.tiff,587.96,324.0,433.02,423.12,5.01,1248.25
2018-02-15 17.50.39.802000.tiff,,,,,,9066.02
2018-02-15 17.54.24.527000.tiff,,,,,,20.95
2018-02-15 17.55.41.631000.tiff,477.11,757.56,110.07,199.86,25.82,562.5
2018-02-15 18.03.20.661000.tiff,639.62,739.83,452.51,223.67,-24.54,506.8
2018-02-15 18.03.44.884000.tiff,476.94,698.87,184.02,465.23,110.67,629.89
2018-02-15 18.06.17.336000.tiff,,,,,,5798.43
2018-02-15 18.18.18.942000.tiff,882.56,445.07,339.7,1120.96,45.62,909.16
2018-02-15 18.33.33.176000.tiff,481.54,481.39,211.19,399.39,13.42,1054.51
2018-02-15 18.35.42.911000.tiff,520.26,865.59,278.8,69.0,-2.57,562.01
2018-02-15 18.42.28.237000.tiff,691.73,174.92,501.97,286.15,94.62,793.43
2018-02-15 18.43.09.176000.tiff,515.31,273.09,386.65,260.86,9.17,1129.07
2018-02-15 18.50.35.215000.tiff,,,,,,906.59
2018-02-15 18.53.45.116000.tiff,,,,,,4668.99
2018-02-15 18.56.36.696000.tiff,461.41,179.53,162.82,89.91,-1.15,362.03
2018-02-15 19.04.48.515000.tiff,504.91,323.19,29.1,27.19,-10.99,115.69
2018-02-15 19.08.15.790000.tiff,445.96,250.25,68.43,161.76,11.45,355.99
2018-02-15 19.12.20.865000.tiff,455.28,659.7,34.96,223.2,13.04,440.11
2018-02-15 19.22.13.141000.tiff,393.65,684.55,343.25,348.64,39.48,798.44
2018-02-15 19.25.00.778000.tiff,361.81,670.77,423.87,331.86,97.17,761.99
2018-02-15 19.40.36.459000.tiff,544.1,837.68,137.77,456.45,83.17,912.07
2018-02-15 20.03.10.591000.tiff,494.76,467.49,387.13,643.47,114.3,1057.19
2018-02-15 20.04.16.382000.tiff,244.69,568.7,110.47,132.24,84.49,324.13
2018-02-15 20.07.47.483000.tiff,288.03,657.42,212.9,377.04,89.98,725.79
2018-05-25 08.51.37.104000.tiff,,,,,,26.93
2018-05-25 09.08.13.569000.tiff,486.06,477.47,364.97,382.84,86.9,1727.62
2018-05-25 09.09.40.225000.tiff,408.78,569.06,415.55,245.75,35.78,1122.3
2018-05-25 09.18.30.484000.tiff,634.19,347.17,306.68,295.8,59.15,878.16
2018-05-25 09.23.14.747000.tiff,416.69,275.62,591.46,129.83,33.1,785.46
2018-05-25 09.30.24.687000.tiff,193.06,828.56,111.05,400.23,24.35,775.47
2018-05-25 09.41.32.834000.tiff,663.43,353.87,159.12,71.15,61.31,685.23
2018-05-25 09.54.07.326000.tiff,497.24,559.64,86.21,481.2,59.87,2120.48
2018-05-25 10.35.05.284000.tiff,,,,,,5412.09
2018-05-25 10.37.54.811000.tiff,,,,,,5205.34
2018-06-05_090531.tiff,419.7,187.69,588.14,534.33,116.02,882.66
2018-06-05_135049.tiff,491.84,486.97,218.77,234.41,61.58,768.46
2018-06-08 13.52.57.006000.tiff,-11.43,503.8,90.72,117.51,-10.65,162.6
2018-06-08 13.53.41.565000.tiff,-16.38,742.34,94.68,40.38,90.27,129.65
2018-06-08 14.02.49.945000.tiff,,,,,,19.95
2018-06-08 14.12.49.445000.tiff,,,,,,707.65
2018-06-08 14.52.30.444000.tiff,87.96,853.58,39.52,214.34,128.15,333.2
2018-06-08 14.58.01.274000.tiff,1079.69,177.48,287.92,278.72,68.98,180.25
2018-06-08 15.02.07.152000.tiff,785.39,821.2,200.86,153.83,-9.61,565.49
2018-06-08 15.04.22.183000.tiff,410.62,473.48,643.93,478.34,-9.4,710.1
2018-06-08 15.10.30.565000.tiff,902.77,631.42,468.82,193.13,126.69,619.11
2018-06-08 15.20.05.321000.tiff,923.5,423.21,207.98,16.07,127.18,507.64
2018-06-08 16.20.47.879000.tiff,736.17,702.99,591.01,108.34,129.38,1176.86
2018-07-24_104137.tiff,,,,,,25.93
2018-07-24_112252.tiff,744.88,727.62,193.5,226.28,97.15,846.01
2018-08-22_124408.tiff,500.24,488.44,582.81,333.43,117.32,1010.91
2018-08-30 11.48.34.102000.tiff,1029.42,364.44,198.25,244.41,-8.42,292.89
2018-09-21_125846.tiff,513.54,571.17,73.56,153.97,-15.8,289.79
2018-09-25_220641.tiff,451.22,392.53,299.72,395.11,-24.56,1509.82
2018-10-03_110529.tiff,136.91,252.03,228.21,272.19,92.94,506.78
2018-10-04_145143.tiff,1080.13,415.88,469.23,396.72,4.89,585.43
2018-10-12_152929.tiff,216.2,34.47,96.63,142.47,78.02,388.51
2018-10-16_110627.tiff,418.39,383.08,427.55,349.94,31.63,1533.17
2018-10-22_094902.tiff,608.1,531.08,507.79,269.56,36.64,768.55
2018-11-06_111536.tiff,504.12,456.8,313.89,304.84,5.85,1218.51
2019-05-17_145553_SmartAlignments_flucam.tiff,717.71,719.39,338.99,246.56,-27.86,599.4
2019-09-26 17.38.31.517000_metadata.tiff,532.32,536.38,303.67,306.64,110.95,1321.16
2020-01-28_090233_SmartAlignments_flucam.tiff,588.01,444.74,356.75,378.34,80.03,1254.1
2020-01-28_104151_SmartAlignments_flucam.tiff,421.13,504.35,115.46,342.36,-24.99,1109.05
2020-01-28_111417_SmartAlignments_flucam.tiff,458.9,513.71,283.13,339.5,3.87,2089.1
2020-01-28_122901_SmartAlignments_flucam.tiff,519.01,555.07,104.53,102.15,29.26,348.07
2020-01-29_134338_SmartAlignments_flucam.tiff,484.83,392.66,246.71,141.19,22.33,779.22
2020-01-30_110635_SmartAlignments_flucam.tiff,526.33,512.46,192.02,225.26,49.99,706.11
2020-05-04_102725_SmartAlignments_flucam.tiff,490.34,561.4,85.72,146.83,67.94,465.35
2020-05-07_085256_SmartAlignments_flucam.tiff,484.84,486.2,90.39,99.95,70.65,263.34
